Customer-ID|IBAN|Balance
1000000000|GB691853995717481|68454.81
1000000001|GB951269324763626|5691.09
1000000002|GB213311546415511|45953.77
1000000003|GB268898853763925|5856651.85
1000000004|GB386289479776138|8132395.73
1000000005|GB924242597448931|-4213342.59
1000000006|GB273179883349685|280392.44
1000000007|GB416268911185674|-83015.95
1000000008|GB591919987912972|481387.61
1000000009|GB345923442111173|983078.65
1000000010|GB248855448423742|573.22
1000000011|GB521865615571135|862409.63
1000000012|GB967456662718431|-4015.13
1000000013|GB171612518779657|36654.19
1000000014|GB291179299169488|891796.69
1000000015|GB639467652941282|50111.23
1000000016|GB713745457393858|478499.98
1000000017|GB774369767983363|128726.74
1000000018|GB369646235533388|742.82
1000000019|GB862529129135513|100829.98
