prename;surname;customer_id;phone;e_mail;address_id
Noel;Reyes;1000000000;0049 4261 98987899;n.reyes@mail.de;F452064329
Claus;Engler;1000000001;0049 2603 12600278;c.engler@gmx.de;A721387523
Bernhard;Moos;1000000002;0049 3622 85820-588;bernhard.moss@yahoo.com;P483123930
Timo;Breit;1000000003;0049 2371 32608889;t.breit@web.de;G906473022
Callie;Oliver;1000000004;1 78 385 9208-2906;fermentum@Mauris.edu;V905408138
Erasmus;Houston;1000000005;1 85 622 9152-2291;pede.Cras@felispurus.edu;I435988779
Merrill;Gilmore;1000000006;1 35 496 1071-3298;vulputate.eu.odio@dolor.com;S233472417
Nash;Ball;1000000007;1 69 965 8308-9325;enim.Mauris.quis@augue.edu;Y502067781
Yeo;Walters;1000000008;1 52 830 1383-0890;Phasellus.elit.pede@atpretium.ca;P702102997
Leroy;Kelly;1000000009;1 99 757 8650-6558;ultricies.ornare@eleifendCrassed.edu;O901682918
Petra;Rhodes;1000000010;1 35 734 3902-5524;dignissim@ut.com;F592172131
Paula;Bradley;1000000011;1 12 696 4806-6792;quis.diam@atpede.edu;L005278210
Nero;Bowman;1000000012;1 72 314 1354-1643;Donec@pedemalesuadavel.com;E395677078
Adara;Dennis;1000000013;1 97 222 4815-5127;sodales.purus@id.ca;E093646069
Reece;Waller;1000000014;1 94 436 8222-3511;erat.volutpat@sapienNunc.edu;E290008428
Judith;Molina;1000000015;1 86 961 4872-6610;Cum@sollicitudincommodoipsum.ca;U863509002
Zelenia;Carlson;1000000016;1 24 321 7619-1878;viverra.Maecenas.iaculis@sem.edu;T823256844
Nicole;Harrell;1000000017;1 93 694 1639-6501;Sed.molestie.Sed@blandit.ca;B078654702
Justine;Huff;1000000018;1 93 270 6727-5668;Aenean@arcu.com;P368357368
Madaline;Curtis;1000000019;1 11 329 5543-0933;purus@atortor.ca;A365644864
